start	end	text
210839	212699	Sorry, did you say night before?
213180	216601	Yes, the night before, like at 9 or 10 pm.
217201	217801	Oh, I see.
218262	221303	Sometimes I prepare my bag at night, but not always.
221723	224064	When I don't, I feel stressed in the morning.
224682	225402	I understand.
225843	229444	Preparing everything at night can save time and reduce stress.
229925	232066	It's a simple habit, but very powerful.
232526	232966	You're right.
233467	236328	I will try to prepare my clothes and bag the night before.
236848	238009	What time do you go to work?
238569	242651	I start work at 9 a.m., so I leave my house at 8.15.
243171	244512	I like to arrive early.
244792	246113	It helps me feel calm.
246593	247333	That's a good idea.
247353	250875	I usually leave at 7.30 because my class starts at 8.
251656	252596	And how do you go?
252936	253997	By bus, train?
254606	257107	By bus, it takes about 25 minutes.
257628	259989	I use that time to listen to English podcasts.
260429	261229	That's perfect.
261589	264071	Listening during your commute is a smart habit.
264451	265992	You are using your time well.
266532	267072	I try.
267552	270734	Sometimes I don't understand everything, but I keep going.
271198	272058	That's the spirit.
272418	274719	Don't worry if you don't understand everything.
275139	276580	Focus on the main idea.
276980	278480	Little by little, you improve.
278921	279421	Thank you.
279881	281361	And what do you do after work?
281902	285283	After work, I usually go to the gym three times a week.
285823	287623	On the other days, I go straight home.
288104	289784	Wow, three times a week?
290024	290744	That's impressive.
291265	292205	Well, I try.
292705	296086	Sometimes I feel tired, but I tell myself, keep going.
296586	298107	Exercise gives me energy.
298653	300374	I want to start exercising more.
300855	302936	Right now, I only walk to the bus stop.
303357	304317	That's already good.
304718	306299	Walking is exercise too.
306819	310962	You can start with small goals, like 20 minutes of walking in the evening.
311403	312844	Yes, that sounds possible.
313424	316667	After my classes, I usually go home and do my homework.
317147	319029	How many hours do you study at home?
319609	320209	It depends.
320710	323012	Sometimes one hour, sometimes two.
323572	325393	If I have a test, I study more.
325814	327315	Do you have a study routine?
327867	328528	Not really.
328548	330369	I just study when I feel like it.
330909	333111	Maybe you can create a simple plan.
333551	337554	For example, from 6 p.m. to 7 p.m., you study English.
337954	341777	From 7 p.m. to 7.30 p.m., you review your notes.
342237	343378	That sounds organized.
343618	344499	I think I need that.
344839	347241	Yes, routines help you stay focused.
347681	349622	And don't forget to take short breaks.
350043	353285	Study for 25 minutes, then rest for 5 minutes.
353865	354786	Oh, like a method.
355226	355807	What is it called?
356292	360815	Some people call it the Pomodoro technique, but you don't need to remember the name.
361175	364377	Just remember study, short break, study again.
364397	365338	I like that.
365618	366438	I will try it today.
366859	367119	Great.
367499	369220	And what about your evening routine?
369741	372763	In the evening, I usually have dinner with my roommate.
372963	373763	We cook together.
374103	374664	That's nice.
375044	375684	What do you cook?
376185	379747	Simple food like rice, chicken, salad, or pasta.
380247	382449	Sometimes we try recipes from the internet.
382789	384570	Cooking at home is a healthy habit.
384850	385911	It also saves money.
386390	387311	Yes, exactly.
387831	391753	After dinner, I sometimes watch a series in English with subtitles.
392253	393394	That's a great way to learn.
393774	395035	Which series do you watch?
395535	396916	I'm watching a comedy show.
397256	398877	It's funny and not too difficult.
399337	402159	Comedy is good because you learn daily expressions.
402439	405921	For example, phrases like no way or come on.
406361	407982	Yes, I hear those a lot.
408502	409883	And what time do you go to bed?
410423	415206	I try to go to bed at 11 p.m., but sometimes I stay up until midnight.
415550	417192	Do you use your phone in bed?
417692	419354	Yes, that's my problem.
419854	420936	Many people do that.
421396	422938	Maybe you can create a rule.
423358	425741	No phone after 10.30pm.
426181	426922	That's a good idea.
426942	428724	I think it will help me sleep better.
429252	430812	Sleep is very important.
431192	434773	If you sleep well, your brain works better and you can learn faster.
435173	435893	That makes sense.
436393	440434	I notice that when I sleep only five hours, I feel tired all day.
440914	441494	Exactly.
441955	447936	A good daily routine includes good sleep, healthy food, study time, and some exercise.
448396	450556	When you say it like that, it sounds simple.
451036	453017	It is simple, but you need discipline.
453357	455057	Small actions every day.
455517	455957	You're right.
456217	458798	I think my biggest problem is consistency.
459344	460885	Consistency is key.
461386	465949	It's better to study 20 minutes every day than three hours only on Sunday.
466350	466930	That's true.
466950	468031	I will remember that.
468371	469832	And don't forget to relax.
470173	471434	Do something you enjoy.
471854	474576	Read a book, listen to music, talk to friends.
475056	476738	Yes, balance is important.
477258	481341	So if you could change one habit in your routine, what would it be?
481962	485304	I would wake up earlier without feeling tired, and you?
485885	488427	I would like to reduce my screen time at night.
488960	490241	Maybe we can help each other.
490681	494743	You remind me to wake up early, and I remind you to sleep earlier.
495183	495523	Deal.
495884	496484	It's on me.
496824	499546	I'll send you a message tomorrow morning at 6.30.
500006	501847	Please do, and thank you for the tips.
502207	503288	You always motivate me.
503708	504288	You're welcome.
504728	506269	Remember, you're doing great.
506629	510531	Moving to a new country and studying in another language is not easy.
510891	512032	Thanks so much, Lucas.
512212	513473	I feel more confident now.
513915	514435	That's good.
514796	516857	Just keep going one day at a time.
517197	519139	Your routine doesn't need to be perfect.
519459	520940	It just needs to work for you.
521440	521961	I like that.
522401	523382	One day at a time.
523882	524502	Exactly.
524863	528325	So tomorrow, new day, new chance to learn something new.
528785	529065	Yes.
529366	533488	Tomorrow I will prepare my bag at night and study English in the morning.
533849	534729	That's the spirit.
535090	536370	Thank you for the conversation.
536551	538452	It really helped me think about my habits.
539085	539645	Anytime.
539965	541466	Friends help friends grow.
542027	542667	See you tomorrow.
543027	543387	See you.
543747	546349	And don't forget, study English every day.
546369	547509	I won't forget.
547729	547990	Bye.
548390	548690	Bye.
550151	554213	Wow, that was such a nice conversation between Lucas and Maya.
554733	556514	I really liked how natural it felt.
557006	559730	Yes, it felt like a real talk between friends.
560251	563476	And remember, we work very hard to bring you this content for free.
563936	565879	If you want to support us, you can buy us a coffee.
566220	567341	The link is in the description.
567862	570887	Any value helps us keep going and creating more episodes for you.
571287	573230	Thank you so much for being here with us.
573770	576013	Now, let's break everything down step by step.
576614	580078	First, we are going to explain some useful phrases from the dialogue.
580579	583142	After that, we will talk about important vocabulary.
583623	587889	And in the end, we will share some cultural tips related to daily routine and habits.
588409	590870	Don't worry if you didn't understand everything the first time.
591150	591710	That's normal.
592010	594471	We will go slowly and explain in a simple way.
594911	597252	Let's start with some key moments from the dialogue.
597692	600412	Lucas said, what time do you usually wake up?
601033	602773	This is a very common question.
603213	606594	We use what time do you usually to ask about routine.
607114	610335	For example, you can say, what time do you usually go to bed?
610775	612776	Or, what time do you usually have lunch?
613296	616537	It's a simple structure, but very useful in daily conversation.
617037	621439	Yes, and Maya answered, I usually wake up at 6.30 a.m. on weekdays.
621959	623660	Notice how she used usually.
624140	625560	This word shows frequency.
625841	626681	It means most days.
627181	634324	Another important moment was when Lucas said, studying English every day, even for 20 minutes, makes a big difference.
634804	636585	This is such a powerful sentence.
637005	641627	He is saying that small actions every day are better than big actions once in a while.
642147	642768	Exactly.
643328	645830	Then Maya said, sorry, did you say night before?
646411	647952	This is a very useful phrase.
648392	651635	When you don't understand something, you can say sorry, did you say?
652156	654998	For example, sorry, did you say seven or eleven?
655498	656619	It's polite and natural.
657020	661624	Lucas also said, preparing everything at night can save time and reduce stress.
662144	664126	This sentence is great because it gives advice.
664586	667969	You can use the structure can plus verb to talk about possibility.
668395	671718	I also liked when Lucas said, don't worry if you don't understand everything.
672038	673319	Focus on the main idea.
673820	675841	This is very important for language learners.
676242	679805	When you watch a movie or listen to a podcast, you don't need to understand 100%.
681266	683168	Try to understand the general idea first.
683650	685512	And remember the phrase, it's on me.
685953	687034	Lucas said that at the end.
687575	692301	It's on me means I will take responsibility or I will pay in some situations.
692781	696245	For example, at a restaurant, you can say, don't worry, dinner is on me.
696666	698168	Now let's move to vocabulary.
698388	701592	We chose some important words from this episode that you really need to know.
702007	703609	The first word is routine.
704149	706231	A routine is something you do regularly.
706632	711717	For example, your morning routine can include brushing your teeth, making your bed, and having breakfast.
712217	714940	If you don't have a routine, your day can feel disorganized.
715381	718023	The opposite idea could be chaos when there is no structure.
718444	719865	The second word is habit.
720286	723269	A habit is something you do often, sometimes without thinking.
723849	725871	Drinking coffee every morning can be a habit.
726291	727893	Biting your nails can also be a habit.
728393	729774	Habits can be good or bad.
730255	732096	A good habit is studying English every day.
732536	734698	A bad habit can be sleeping very late every night.
737191	739933	This means the time you travel from home to work or school.
740373	742995	For example, my commute is 30 minutes by bus.
743495	747198	During your commute, you can listen to music, podcasts, or review vocabulary.
747578	750000	The fourth word is consistent or consistency.
750500	752581	In the dialogue, they talked about consistency.
753102	755483	It means doing something regularly without stopping.
756023	758645	If you're consistent with your English practice, you will improve.
759146	762588	The opposite is inconsistent when you start and stop all the time.
762948	764390	The fifth word is discipline.
764890	767614	Discipline means you do something even when you don't feel like it.
768034	771358	For example, waking up at 6.30 am every day needs discipline.
771903	773663	Discipline helps you build strong habits.
774103	775384	The sixth word is stress.
775884	777884	Stress is the feeling of pressure or worry.
778344	781105	When you don't prepare your bag at night, you can feel stress in the morning.
781565	784205	To reduce stress, you can organize your schedule and sleep well.
784545	785746	The seventh word is goal.
786306	788086	A goal is something you want to achieve.
788526	791387	For example, my goal is to speak English confidently.
791827	794447	You can set small goals like learning five new words every day.
794827	798668	Now let's talk about some cultural tips related to daily routines.
799395	803319	In many English-speaking countries, being on time is very important.
803699	807823	If your class starts at 8am, it's good to arrive at 7.55 or 7.50.
808984	812146	Being late can be seen as disrespectful in some situations.
812767	815910	Yes, and many people prepare things the night before.
816450	821074	For example, they choose their clothes, pack their lunch, and organize their bag.
821515	824958	This is common in busy cities where people have tight schedules.
825619	827940	Another interesting point is the gym culture.
828360	834523	In countries like the United States, Canada, or the UK, many people go to the gym before or after work.
834903	838165	It's part of their routine, but you don't need a gym to exercise.
838565	842427	Walking, running in the park, or doing home workouts are also common.
843087	844648	Also, about screen time.
845108	847929	Many people try to reduce screen time before bed.
848429	853111	It's common to hear advice like, don't use your phone 30 minutes before sleeping.
853611	855992	This is because screens can affect your sleep.
856692	863634	And one more thing, productivity methods like studying 25 minutes and taking a 5 minute break are very popular.
864094	868396	Many students and professionals use simple time management techniques to improve focus.
869113	870374	The main idea is this.
870934	873516	Routines help you organize your life.
874036	878559	But remember, your routine does not need to look like someone else's routine.
879039	880380	It needs to work for you.
881020	882241	You are doing great.
882521	883041	Keep going.
883462	886303	Study English every day, even if it's just a little.
886804	888865	Small habits create big results.
889532	890032	That's right.
890493	895496	Now, take a moment and think, what is one habit you can improve today?
896117	900700	We believe in you, and we are here to help you learn something new every single episode.
901520	909025	Now we are going to give you some model sentences and practical examples so you can build your own sentences about daily routine and habits.
909666	912128	Yes, this is the moment to practice.
912548	914729	Remember, don't be afraid of making mistakes.
914929	915690	You're doing great.
916070	918452	The most important thing is to keep going.
919090	922071	Let's start with simple sentences about morning routine.
922411	924992	You can say, I wake up at 7am.
925492	927212	I brush my teeth and make my bed.
927712	929793	I drink coffee and read for 10 minutes.
930413	932654	Now let's make it a little more detailed.
933054	937575	You can say, I usually wake up at 6.30am on weekdays.
938155	941036	I try to study English for 20 minutes before work.
941616	944417	I prepare my bag the night before to reduce stress.
945097	949025	Now imagine someone asks you, what time do you usually go to bed?
949366	956920	You can answer, I usually go to bed at 10.30 p.m. Or you can answer, I sometimes go to bed after midnight.
957622	961546	If you feel nervous in a conversation, you can use simple alternatives.
961987	964709	For example, in the morning, I do this.
965450	966891	At night, I do this.
967432	970755	Or simply, I wake up at seven, then I go to work.
971376	976381	If you don't understand a question, you can say, sorry, did you say six or seven?
977022	978223	Sorry, can you repeat that?
978783	980886	Do you mean in the morning or at night?
981568	986149	During your commute, you can say, I listen to podcasts on my way to work.
986730	988090	I read a book on the bus.
988730	990711	I review vocabulary while I wait.
991351	993672	If you don't know what to say, keep it simple.
993952	995732	You can say, this is my routine.
996273	997433	I'm trying my best.
997953	999474	I'm improving little by little.
1000094	1003335	So now let's finish this episode in a strong way.
1003815	1004135	Yes.
1004555	1007216	Let's recap what you learned today and help you take action.
1007656	1010737	Today, you learned how to talk about your daily routine.
1011158	1019541	You learned how to say what time you wake up, how you describe your morning habits, how to talk about your commute, your study routine, exercise, and sleep.
1019842	1023223	You also learned useful expressions like, what time do you usually?
1023743	1024724	Sorry, did you say?
1024744	1025944	I'm trying to.
1026345	1027305	And it's on me.
1027805	1031467	These are simple but powerful phrases that you can use in real conversations.
1031865	1039130	We talked about important words like routine, habit, consistency, discipline, goal, stress, and commute.
1039691	1041392	These are not just English words.
1041792	1042853	They are life words.
1043253	1045995	They help you describe your reality and also improve it.
1046327	1048689	You don't need to change your whole life in one day.
1049130	1050511	Just choose one small habit.
1050971	1051552	Start today.
1052152	1052673	Keep going.
1053093	1054875	Imagine yourself in six months.
1055315	1059959	If you study English every day, even a little, how much more confident will you feel?
1060500	1063122	How many new conversations will you be able to have?
1063523	1065565	You are capable of more than you think.
1066165	1067867	Discipline is built step by step.
1068407	1070189	Confidence is built word by word.
1070661	1071842	Let's quickly recap.
1072283	1081532	Today you learned how to talk about daily routine and habits, how to ask and answer common questions about your day, and how to use simple structures to describe your life.
1081833	1085136	You also learned that consistency is more important than perfection.
1085456	1088960	We are very proud of you for being here and practicing your English.
1089325	1095618	If this episode helped you, subscribe to the channel, share it with a friend who is also learning English, and keep practicing with us.
1095978	1099385	Leave a comment telling us one habit you want to improve this week.
1099746	1101329	We really want to read your answer.
1101630	1102371	Keep practicing.
1102772	1103554	Keep improving.
1103934	1105397	Study English every day.
1105658	1107461	Take care and see you in the next episode.
1107762	1108023	Bye.
