start	end	text
739791	743634	For me, the night routine starts around 9 p.m. What do you do first?
744195	745176	I dim the lights.
745436	747597	I want softer light, not bright light.
747978	748298	Yes.
748598	751000	Bright light tells your brain to stay awake.
751520	752882	Then I put my phone away.
753282	755023	Not always perfect, but I try.
755504	758065	I also keep my phone a little far from my bed.
758466	758826	Great.
759286	762509	Next, I wash my face and change into comfortable clothes.
762905	765747	That step makes me feel clean and ready for rest.
766247	766547	Yes.
767127	771170	Then I do something calm, reading or writing a few lines.
771610	772751	Do you write about your day?
773191	773711	Sometimes.
774232	776253	I write one good thing that happened.
776613	778054	That sounds like gratitude.
778514	779254	Exactly.
779555	781756	Gratitude means feeling thankful.
782216	782937	I love that.
782957	785338	I do a small gratitude moment too.
785778	786479	What do you write?
786919	788120	I write one sentence.
788560	792062	Today I am thankful for... Beautiful and simple.
792470	795553	For example, today I am thankful for a good lunch.
796374	798896	Or I am thankful for a calm walk.
799436	801879	Yes, it helps my mind feel lighter.
802379	804701	After that, I prepare for tomorrow a little.
805122	806663	Like clothes or a bag.
807023	810426	Yes, I put out my clothes or I pack my bag.
810827	814490	That reduces morning stress and it protects your morning routine.
814951	815751	Exactly.
816252	818454	Then I set my alarm and get into bed.
818843	820183	Do you do anything in bed?
820603	822024	I try not to use my phone.
822304	824484	I do two minutes of slow breathing.
824864	827985	That helps you focus on your body and calm your thoughts.
828505	833687	Yes, and if my mind is busy, I tell myself, I can think about this tomorrow.
834047	834867	Good self-talk.
835367	836307	Then sleep.
836887	839628	And I try to sleep at a similar time each night.
840028	842929	Because consistency influences sleep quality.
843361	844182	Exactly.
844602	847243	Okay, Leo, let's do a short recap for listeners.
847643	847884	Sure.
848524	853567	Morning, water, wash, stretch, breakfast, and a small plan.
854027	861111	Afternoon, balanced lunch, short movement, clear priorities, mindful breaks, and recharge time.
861592	868233	Evening, review your day, transition out of work, eat calmly, and do something relaxing.
868753	874815	Night, dim lights, put the phone away, gratitude, prepare for tomorrow, and sleep.
875335	878435	Simple, not perfect, but simple and repeatable.
878956	881956	Now, let's do a short speaking practice with our listeners.
882636	883957	Listeners, repeat after me.
884477	887077	My daily routine helps me feel calm.
887537	887917	Repeat.
888357	891058	My daily routine helps me feel calm.
891560	891840	Good.
892320	895622	Now, I prioritize my top three tasks.
896143	896543	Repeat.
896983	899585	I prioritize my top three tasks.
900085	900545	Great.
901166	904468	Now, I take a mindful break to recharge.
904928	905328	Repeat.
905789	908310	I take a mindful break to recharge.
908910	909411	Excellent.
909971	911912	Now, answer this question out loud.
912393	913433	What time do you wake up?
913914	914914	Use this pattern.
915374	918256	I wake up at... And one more question.
918816	921038	What helps you avoid the afternoon slump?
921640	922580	Use this pattern.
923160	924561	A mm helps me.
925001	927521	For example, a short walk helps me.
927961	928341	Great.
928801	929582	Last question.
930022	931582	What is your night routine like?
932142	933202	Use this pattern.
933642	938203	At night, I... For example, at night, I read for 10 minutes.
938763	939363	Perfect.
939804	942604	Practice is more important than perfect grammar.
943004	943324	Yes.
943724	946965	Speak slowly, speak clearly, keep going.
947483	952250	And don't forget, our free PDF has extra questions and exercises for this episode.
952631	952911	Great.
953512	955775	Now it's time for the vocabulary review.
956316	958039	Vocabulary review section.
958459	960643	Here are about 10 words we use today.
961043	963467	Each word has a meaning and an example sentence.
964050	968574	One, routine, meaning the regular things you do each day.
969174	973057	Example, my morning routine starts with water and stretching.
973397	977720	Two, influence, meaning to affect something or change it.
978221	982104	Example, quiet music can influence my mood in the morning.
982524	987408	Three, refreshed, meaning feeling clean and full of energy again.
987908	991370	Example, after I wash my face, I feel refreshed.
991931	993092	Four, focus.
993532	996073	Meaning, to pay attention to one thing.
996513	1000015	Example, I focus on my work for 25 minutes.
1000475	1002056	Five, prioritize.
1002416	1005418	Meaning, to choose what is most important first.
1005898	1009940	Example, I prioritize my top three tasks every day.
1010860	1014963	6.
1011281	1014963	Slump Meaning a time when you feel tired and slow.
1015424	1020047	Example, I sometimes have an afternoon slump after lunch.
1020067	1020047	7.
1020507	1024550	Mindful Meaning paying attention to the present moment.
1025011	1028873	Example, I take a mindful break and drink tea slowly.
1028893	1028873	8.
1029934	1033036	Recharge Meaning to get energy again.
1033537	1035178	Example, a short walk
1035538	1039561	helps me recharge in the afternoon.
1040001	1043003	Meaning, a change from one activity to another.
1043503	1048987	Example, changing clothes helps my transition from work to rest.
1050488	1052889	Meaning, a feeling of being thankful.
1053350	1057192	Example, I write one line of gratitude before I sleep.
1057592	1058293	Great job!
1058693	1061815	Try to use two of these words in your own sentences today.
1062227	1066613	And remember, small routines create big change over time.
1067073	1069957	Thank you for listening to English Podcast 1314.
1071098	1074122	Keep learning, keep practicing, and take care.
1074623	1075304	See you next time.
